,MTS,OPEN,CLOSE,HIGH,LOW,VOLUME
0,1577836800000,7208.2,7200.0,7208.2,7200.0,0.59313
1,1577836860000,7200.0,7200.0,7200.0,7200.0,0.5367946100000001
2,1577836920000,7200.0,7200.0385917,7200.0385917,7200.0,0.02224822
3,1577836980000,7200.0,7200.0,7200.0,7200.0,0.0225847
4,1577837040000,7200.0,7199.0,7200.0,7199.0,0.46502606
5,1577837100000,7199.0,7194.5,7199.02880008,7192.1,1.54984999
6,1577837160000,7194.0,7194.0,7194.0,7194.0,0.017138399999999998
7,1577837220000,7194.0,7194.1,7194.1,7194.0,0.013424229999999999
8,1577837280000,7194.0,7197.81622354,7197.81622354,7194.0,0.015
9,1577837340000,7197.81622354,7201.7,7201.7,7197.81622354,1.27812634
10,1577837400000,7203.9,7202.1,7203.9,7202.1,0.44
11,1577837460000,7202.1,7202.0,7202.1,7202.0,0.00604912
12,1577837520000,7202.6,7201.2,7202.6,7201.2,0.030000000000000002
13,1577837580000,7200.3,7199.5,7200.3,7199.5,0.09999999999999999
14,1577837640000,7196.3,7195.3,7196.5,7195.3,0.48379904
15,1577837700000,7196.1,7196.8,7198.4,7196.1,1.39860402
16,1577837760000,7196.7,7195.8,7197.1,7195.8,0.14853569
17,1577837820000,7196.6,7195.1,7196.6,7195.1,1.025
18,1577837880000,7194.1,7188.2,7194.1,7188.1,12.18778458
19,1577837940000,7188.2,7190.27605747,7190.8,7187.92153077,0.38412956000000004
20,1577838000000,7190.27605747,7193.4,7193.4,7190.2,8.78000249
21,1577838060000,7192.2298632,7197.1,7197.1,7191.5,8.14888909
22,1577838120000,7192.7,7197.67599852,7197.67599852,7191.9,7.59691488
23,1577838180000,7193.0,7195.2,7195.2,7193.0,3.71631943
24,1577838240000,7194.7,7193.6,7194.7,7193.6,0.025
25,1577838300000,7193.9,7195.1,7195.9,7193.9,0.2970417
26,1577838360000,7197.9,7197.1,7197.9,7197.1,0.30684116
27,1577838420000,7194.6,7194.9,7195.6,7194.5,0.28104235
28,1577838480000,7195.4,7195.0,7196.6,7195.0,0.1154
29,1577838540000,7196.6,7196.78310574,7196.78310574,7196.6,0.16000688
30,1577838600000,7194.2,7195.77334585,7196.1,7194.2,0.03
31,1577838660000,7195.77334585,7195.7,7195.77334585,7195.7,0.00688289
